gene	gene length
ATXN7L2	2169
AUNIP	1074
AURKAIP1	600
AVPR1B	1275
AXDND1	3039
B3GALNT2	1503
B3GALT2	1269
B3GALT6	990
B4GALT2	1206
B4GALT3	1182
BAI2	4758
BARHL2	1164
BATF3	384
BCAN	2736
BCAR3	2478
BCAS2	678
BCL10	702
BCL2L15	492
BCL9	4281
BEND5	1266
BEST4	1422
BGLAP	303
BLZF1	1203
BMP8A	1209
BMP8B	1209
BNIPL	1074
BOLA1	414
BPNT1	927
BRDT	2856
BROX	1236
BSDC1	1344
BSND	963
BTBD19	876
BTBD8	1137
BTF3L4	477
BTG2	477
BTNL10	0
C1QA	738
C1QB	762
C1QC	738
C1orf100	444
C1orf101	2856
C1orf105	552
C1orf106	2034
C1orf109	612
C1orf110	909
C1orf111	786
C1orf112	2562
CCDC181	1530
C1orf115	429
C1orf116	1806
C1orf122	333
C1orf123	483
C1orf127	2472
C1orf131	882
C1orf132	0
C1orf134	252
C1orf137	297
ADAMTSL4-AS1	390
C1orf141	1203
C1orf143	312
C1orf145	477
C1orf146	543
C1orf147	813
IBA57-AS1	333
C1orf151-NBL1	588
C1orf158	585
C1orf159	597
C1orf162	468
C1orf167	4422
C1orf168	2187
PERM1	2091
KDF1	1197
ERICH3	4593
C1orf174	732
C1orf177	1257
LINC01555	372
C1orf185	600
C1orf186	519
C1orf189	306
SSBP3-AS1	303
CFAP126	534
C1orf194	474
C1orf195	381
C1orf198	984
PIK3CD-AS1	504
C1orf204	708
C1orf21	366
C1orf210	342
ZNF436-AS1	381
C1orf216	690
C1orf220	321
CFAP74	2604
C1orf226	948
SPATA45	297
C1orf228	1323
C1orf229	714
C1orf233	681
C1orf27	1365
C1orf35	792
C1orf43	762
C1orf50	600
CIART	1158
C1orf52	549
C1orf53	438
C1orf54	396
C1orf56	1026
C1orf61	471
RSRP1	873
C1orf64	510
CCDC185	1872
C1orf68	753
C1orf74	810
GLMP	1221
C1orf86	693
C1orf87	1641
C1orf94	1797
C1orf95	426
LINC00862	0
C2CD4D	1062
C4BPA	1794
C4BPB	759
C8A	1755
C8B	1776
CA14	1014
CA6	942
CACHD1	3672
CACNA1E	6942
CACNA1S	5622
CACYBP	687
CADM3	1299
CALML6	546
CAMK1G	1431
CAMK2N1	237
CAMSAP2	4437
CAMTA1	5022
CAP1	1428
CAPN2	2103
CAPN8	1786
CAPN9	2073
CAPZA1	861
CAPZB	834
CASP9	1251
CASQ1	1191
CASQ2	1200
CASZ1	5280
CATSPER4	1419
CC2D1B	2577
CCBL2	1365
CCDC163P	495
CCDC17	1869
CCDC18	3900
CFAP45	1656
CCDC23	201
CCDC24	924
CCDC27	1971
CCDC28B	603
CCDC30	2352
CCNL2	1563
CCSAP	813
CCT3	1638
CD101	3066
CD160	546
CD164L2	522
CD1A	984
CD1B	1002
CD1C	1002
CD1D	1008
CD1E	1167
CD2	1056
CD244	1113
CD247	495
CD34	1158
CD46	1200
CD48	759
CD52	186
CD53	660
CD55	1323
CD58	753
CD5L	1044
CD84	1038
CDA	441
CDC14A	1872
CDC20	1500
CDC42	576
CDC42BPA	5160
CDC42SE1	240
CDC7	1725
CDC73	1596
CDCA8	843
CDCP2	1350
CDK11A	2343
CDK11B	2343
CDK18	1515
CDKN2C	507
CELA2A	810
CELA2B	810
CELA3A	813
CELA3B	813
CELF3	1398
CELSR2	8772
CENPF	9345
CENPL	1173
CEP104	2778
CEP170	4755
CEP350	9354
CEP85	2289
CEPT1	1251
CERS2	1143
CFH	3696
CFHR1	993
CFHR2	813
CFHR3	993
CFHR4	1737
CFHR5	1710
CGN	3612
CHD1L	2694
CHD5	5865
CHI3L1	1152
CHI3L2	1173
CHIA	1431
CHIT1	1401
CHML	1971
CHRM3	1773
CHRNB2	1509
CHTOP	750
CITED4	555
CKS1B	240
CLCA1	2745
CLCA2	2832
CLCA4	2760
CLCC1	1656
CLCN6	2610
CLCNKA	2064
CLCNKB	2064
CLDN19	675
CLIC4	762
CLK2	1497
CLSPN	4020
CLSTN1	2946
CMPK1	687
CNIH3	483
CNIH4	420
CNKSR1	2142
CNN3	990
CNR2	1083
CNST	2178
CNTN2	3123
COA6	378
COG2	2217
COL11A1	5457
COL16A1	4815
COL24A1	5145
COL8A2	2112
COL9A2	2070
COLGALT2	1881
COPA	3702
CORT	318
COX20	357
CPSF3L	1821
CPT2	1977
CR1	7470
CR1L	1710
CR2	3279
CRABP2	417
CRB1	4221
CRCT1	300
CREB3L4	1188
CREG1	663
CRNN	1488
CROCC	6054
CRP	675
CRTC2	2082
CRYZ	990
CSDE1	2535
CSF1	1665
CSF3R	2592
CSMD2	10464
CSRP1	582
CTBS	1158
CTH	1218
CTNNBIP1	246
CTPS1	1776
CTRC	807
CTSE	1191
CTSK	990
CTSS	996
CTTNBP2NL	1920
CYB561D1	756
CYB5R1	918
CYB5RL	948
CYP2J2	1509
CYP4A11	1560
CYP4A22	1560
CYP4B1	1539
CYP4X1	1530
CYP4Z1	1518
CYR61	1146
DAB1	1668
DAP3	1197
ACKR1	1017
DARS2	1938
DBT	1449
DCAF6	2856
DCDC2B	1050
DCLRE1B	1599
DCST1	2121
DCST2	2322
DDAH1	858
DDI2	1200
DDOST	1371
DDR2	2568
DDX20	2475
DDX59	1860
DEDD	957
DEGS1	972
DENND1B	2328
DENND2C	2787
DENND2D	1416
DENND4B	4491
DEPDC1	2436
DESI2	585
DFFA	996
DFFB	1017
DHCR24	1551
DHDDS	1005
DHRS3	909
DHX9	3813
DIEXF	2271
DIO1	750
DIRAS3	690
DISC1	2661
DISP1	4575
DLEU2L	168
DLGAP3	2940
DMAP1	1404
DMBX1	1149
DMRTA2	1629
DMRTB1	1029
DNAH14	13548
DNAJB4	1014
DNAJC11	1680
DNAJC16	2349
DNAJC6	2913
DNAJC8	762
DNALI1	843
DNASE2B	1086
DNM3	2592
DNTTIP2	2271
DOCK7	6390
DPH2	1470
DPH5	858
DPM3	369
DPT	606
DPYD	3078
DR1	531
DRAM2	801
DRAXIN	1050
DSTYK	2790
DTL	2193
DUSP10	1449
DUSP12	1023
DUSP23	453
DUSP27	3477
DVL1	2013
DYRK3	1767
E2F2	1314
EBNA1BP2	1086
ECE1	2313
ECHDC2	879
ECM1	1704
EDARADD	648
EDEM3	2799
EDN2	537
EFCAB14	1488
EFCAB2	489
EFCAB7	1890
EFHD2	723
EFNA1	618
EFNA3	717
EFNA4	624
EGLN1	1281
EIF2B3	1359
AGO1	2574
AGO3	2583
AGO4	2586
EIF2D	1755
EIF3I	978
EIF4G3	4866
ELAVL4	1152
ELF3	1116
ELK4	1296
ELOVL1	840
ELTD1	2073
EMC1	2982
ENAH	1776
ENO1	1305
ENSA	414
EPB41	2595
EPHA10	3027
EPHA2	2931
EPHA8	3018
EPHB2	2964
EPHX1	1368
EPHX4	1089
EPRS	4539
EPS15	2691
EPS8L3	1785
ERI3	1014
ERMAP	1428
ERO1LB	1404
ERRFI1	1389
ESPN	2565
ESRRG	1413
ETNK2	1161
ETV3	1539
ETV3L	1086
EVA1B	498
EVI5	2433
EXO1	2541
EXO5	1122
EXOC8	2178
EXOSC10	2658
EXTL1	2031
EXTL2	1017
EYA3	1722
F11R	900
F13B	1986
F3	888
F5	6675
FAAH	1740
FABP3	402
FAF1	1953
FAIM3	1173
FAM102B	1083
FAM110D	816
FAM129A	2787
FAM131C	843
FAM132A	909
FAM138A	0
FAM151A	1758
FAM159A	573
FAM163A	504
FAM167B	492
FAM177B	477
FAM183A	405
FAM189B	2007
FAM19A3	510
FAM20B	1230
FAM212B	894
FAM213B	741
FAM229A	384
FAM43B	990
FAM46B	1278
FAM46C	1176
BRINP2	2352
BRINP3	2301
FAM63A	1554
FAM69A	1287
FAM71A	1785
FAM72A	450
FAM72B	450
FAM72C	220
FAM72D	450
FAM73A	1902
FAM76A	1026
FAM78B	786
FAM89A	555
FASLG	846
FBLIM1	1125
FBXO2	891
FBXO28	1107
FBXO42	2154
FBXO44	768
FBXO6	882
FCAMR	1734
FCER1A	774
FCER1G	261
FCGR1A	1125
FCGR1B	843
FCGR2A	954
FCGR2B	933
FCGR2C	972
FCGR3A	873
FCGR3B	810
FCN3	900
FCRL1	1290
FCRL2	1527
FCRL3	2205
FCRL4	1548
FCRL5	2997
FCRL6	1305
FCRLA	1149
FCRLB	1281
FDPS	1260
FGGY	1728
FGR	1590
FH	1533
FHAD1	4239
FHL3	843
FLAD1	1764
FLG	12186
FLG2	7176
FLVCR1	1668
FMN2	5169
FMO1	1599
FMO2	1416
FMO3	1599
FMO4	1677
FMO5	1602
FMO6P	1257
FMOD	1131
FNBP1L	1818
FNDC5	462
FNDC7	2202
FOXD2	1488
FOXD3	1437
FOXE3	960
FOXJ3	1869
FOXO6	1680
FPGT	1824
FPGT-TNNI3K	2850
FRRS1	1881
FUBP1	1935
FUCA1	1401
G0S2	312
GABPB2	1347
GABRD	1359
GADD45A	498
GALE	1047
GALNT2	1716
GATAD2B	1782
GBA	1611
GBP1	1779
GBP2	1776
GBP3	1788
GBP4	1923
GBP5	1761
GBP6	1902
GBP7	1917
GCLM	825
GCSAML	408
GDAP2	1494
GFI1	1269
GGPS1	903
GIPC2	948
GJA4	1002
GJA5	1077
GJA8	1302
GJA9	1548
GJB3	813
GJB4	801
GJB5	822
GJC2	1320
GLIS1	1863
GLMN	1785
GLRX2	498
CPTP	645
GLUL	1122
GMEB1	1722
GNAI3	1065
GNAT2	1065
GNB1	1023
GNG12	219
GNG4	228
GNG5	207
GNL2	2196
GNPAT	2043
GNRHR2	0
GOLPH3L	858
GOLT1A	399
GORAB	1185
GPA33	960
GPATCH2	1587
GPATCH3	1578
GPATCH4	1128
GPBP1L1	1425
GPN2	933
GPR137B	1200
GPR153	1830
GPR157	1008
GPR161	1650
GPR25	1086
GPR3	993
GPR37L1	1446
GPR52	1086
GPR61	1356
GPR88	1155
GPR89A	1368
GPR89B	1368
GPSM2	2055
GPX7	564
GREM2	507
GRHL3	1881
GRIK3	2760
GSTM1	657
GSTM2	657
GSTM3	678
GSTM4	657
GSTM5	657
GTF2B	951
GUCA2A	348
GUCA2B	339
GUK1	726
H3F3A	411
H6PD	2376
HAO2	1056
HAPLN2	1023
HAX1	840
HCN3	2325
HCRTR1	1278
HDAC1	1449
HDGF	771
HEATR1	6435
HECTD3	2586
HENMT1	1182
HES2	522
HES3	561
HES4	744
HES5	501
HEYL	987
HFE2	1281
HFM1	4308
HHAT	1485
HHIPL2	2175
HHLA3	366
HIAT1	1473
HIPK1	3633
HIST2H2AB	393
HIST2H2AC	390
HIST2H2BE	381
HIST2H2BF	405
HIST2H3D	411
HIST2H3PS2	411
HIST3H2A	393
HIST3H2BB	381
HIST3H3	411
HIVEP3	7221
HLX	1467
HMCN1	16908
HMGB4	561
HMGCL	978
HMGCS2	1527
HMGN2	273
HNRNPCL1	882
HNRNPR	1911
HNRNPU	2478
HOOK1	2187
HORMAD1	1185
HP1BP3	1662
HPCA	582
HPCAL4	576
HPDL	1116
HRNR	8553
HS2ST1	1071
HSD11B1	879
HSD17B7	1026
HSD3B1	1122
HSD3B2	1119
HSPA6	1932
HSPB11	435
HSPB7	513
HSPG2	13176
HTR1D	1134
HTR6	1323
HYI	834
IARS2	3039
IBA57	1071
ICMT	855
ID3	360
IER5	984
IFFO2	1554
IFI16	2190
IFI44	1335
IFI44L	1359
IFI6	417
IFNLR1	1563
IGFN1	11127
IGSF21	1404
IGSF3	3645
IGSF8	1842
IGSF9	3540
IKBKE	2151
IL10	537
IL12RB2	2589
IL19	648
IL20	531
IL22RA1	1725
IL23R	1890
IL24	624
IL6R	1407
ILDR2	1920
ILF2	1173
INADL	5406
INPP5B	2742
INSL5	408
INSRR	3894
INTS3	3129
INTS7	2889
IPO13	2892
IPO9	3126
IPP	1755
IQCC	1641
IQGAP3	4896
IRF2BP2	1764
IRF6	1404
ISG15	498
ISG20L2	1062
ITGA10	3504
ITGB3BP	651
ITLN1	942
ITLN2	978
ITPKB	2841
IVL	1758
IVNS1ABP	1929
JAK1	3465
JMJD4	1392
JTB	441
JUN	996
KANK4	2988
KAZN	2328
KCNA10	1536
KCNA2	1500
KCNA3	1728
KCNAB2	1248
KCNC4	1908
KCND3	1968
KCNH1	2970
KCNJ10	1140
KCNJ9	1182
KCNK1	1011
KCNK2	1281
KCNN3	2241
KCNQ4	2088
KCNT2	3408
KCTD3	2448
KDM1A	2631
KDM4A	3195
KDM5B	4635
KHDRBS1	1332
KIAA0040	300
KIAA0319L	3150
KIAA0754	4284
KIAA0907	1845
KIAA1107	4065
KIAA1324	3042
KIAA1522	3285
KIAA1614	3573
KIAA1804	3111
KIAA2013	1905
KIF14	4947
KIF17	3090
KIF1B	5313
KIF21B	4914
KIF26B	6327
KIF2C	2178
KIFAP3	2379
KIRREL	2274
KISS1	417
KLF17	1170
KLHDC7A	2334
KLHDC8A	1053
KLHDC9	1050
KLHL12	1707
KLHL17	1929
KLHL20	1830
KLHL21	1794
KMO	1461
KNCN	306
KPNA6	1611
KPRP	1740
KRTCAP2	489
KTI12	1065
L1TD1	2598
LACTBL1	1641
LAD1	1554
LAMB3	3519
LAMC1	4830
LAMC2	3582
LAMTOR2	378
LAMTOR5	522
LAPTM5	789
LAX1	1197
LBR	1848
LCE1A	333
LCE1B	357
LCE1C	357
LCE1D	345
LCE1E	357
LCE1F	357
LCE2A	321
LCE2B	333
LCE2C	333
LCE2D	333
LCE3A	270
LCE3B	288
LCE3C	285
LCE3D	279
LCE3E	279
LCE4A	300
LCE5A	357
LCE6A	243
LCK	1530
LDLRAD1	618
LDLRAD2	819
LDLRAP1	927
LEFTY1	1101
LEFTY2	1101
LELP1	297
LEMD1	546
LENEP	186
LEPR	3498
P3H1	2415
LEPROT	423
LGALS8	1080
LGR6	2904
LHX4	1173
LHX8	1071
LHX9	1194
LIN28A	630
LIN9	1677
LINGO4	1782
LIX1L	1014
LMNA	1995
LMO4	498
LMOD1	1803
LMX1A	1149
LOC100129924	738
LOC149373	372
LOC440563	882
LOC643355	378
LOC649330	882
LOC729059	366
LOC730159	534
LOR	939
LPAR3	1062
LPGAT1	1113
LPHN2	4212
LPPR4	2292
LPPR5	966
LRIF1	2310
LRIG2	3198
LRP8	2892
LRRC38	885
LRRC39	1020
LRRC40	1809
LRRC41	2439
LRRC42	1287
LRRC47	1752
LRRC52	942
LRRC53	1530
LRRC7	4614
LRRC71	1680
LRRC8B	2412
LRRC8C	2412
LRRC8D	2577
LRRIQ3	1875
LRRN2	2142
LSM10	372
LURAP1	720
LUZP1	3231
LY9	1968
LYPD8	240
LYPLA2	696
LYPLAL1	714
LYSMD1	684
LYST	11406
LZIC	573
MAB21L3	1089
MACF1	16293
MAD2L2	636
MAEL	1305
MAGI3	4446
MAGOH	441
MAN1A2	1926
MAN1C1	1893
MANEAL	1374
MAP10	3144
MAP1LC3C	444
MAP3K6	3867
MAP7D1	2526
MAPKAPK2	1203
MARC1	1014
MARC2	1008
MARCKSL1	588
MARK1	2388
MASP2	2061
MAST2	5397
MATN1	1491
MCL1	1053
MCOLN2	1701
MDM4	1473
MDS2	423
MEAF6	606
MECR	1122
MED18	627
MED8	906
MEF2D	1566
MEGF6	4626
METTL11B	852
METTL13	2100
METTL18	1119
MEX3A	1563
MFAP2	552
MFN2	2274
MFSD2A	1632
MFSD4	1545
MGST3	459
MIA3	5724
MIB2	3213
MIER1	1698
MIIP	1167
MINOS1	423
MIR205HG	309
MIXL1	699
MKNK1	1398
MLLT11	273
MMACHC	849
MMEL1	2340
MMP23B	1173
MNDA	1224
MOB3C	807
MORN1	1494
MOV10	3012
MPC2	384
MPL	1908
MPZ	747
MPZL1	810
MR1	1026
MROH7	3972
MROH9	2586
MRPL20	450
MRPL24	651
MRPL37	1272
MRPL55	495
MRPL9	804
MRPS14	387
MRPS15	774
MRPS21	264
MRTO4	720
MSH4	2811
MST1L	2070
MSTO1	1713
MT1HL1	186
MTF1	2262
MTF2	1782
MTFR1L	879
MTHFR	1971
MTMR11	2130
MTOR	7650
MTR	3798
MTX1	1401
MUC1	1455
MUL1	1059
MUTYH	1650
MXRA8	1329
MYBPH	1434
MYBPHL	1065
MYCBP	312
MYCL	1185
MYOC	1515
MYOG	675
MYOM3	4314
MYSM1	2487
NADK	1776
NASP	2367
NAV1	5634
NBL1	651
NBPF1	3425
NBPF10	10881
NBPF12	9996
NBPF14	8460
NBPF15	2013
NBPF20	13866
NBPF3	1902
NBPF4	1917
NBPF6	2004
NBPF7	1266
NBPF9	2827
NCDN	2190
NCF2	1581
NCMAP	309
NCSTN	2130
NDUFS2	1392
NDUFS5	321
NECAP2	822
NEGR1	1065
NEK2	1338
NEK7	909
NENF	519
NES	4866
NEXN	2028
NFASC	3723
NFIA	1665
NFYC	1065
NGF	726
NHLH1	402
NHLH2	408
NID1	3744
NIPAL3	1221
NIT1	984
NKAIN1	624
NLRP3	3111
NME7	1131
NMNAT1	840
NMNAT2	924
NOC2L	2250
NOL9	2109
NOS1AP	1521
NOTCH2	7416
NOTCH2NL	711
NPHP4	4281
NPHS2	1152
NPL	963
NPPA	456
NPPB	405
NPR1	3186
NR0B2	774
NR1I3	1074
NR5A2	1626
NRAS	570
NRD1	3660
NSL1	846
NSUN4	1155
NT5C1A	1107
NTNG1	1620
NTPCR	573
NTRK1	2391
NUAK2	1887
NUCKS1	732
NUDC	996
NUDT17	987
NUF2	1395
NUP133	3471
NUP210L	5667
NVL	2571
OAZ3	709
OBSCN	26772
OCLM	135
ODF2L	1911
OLFM3	1377
OLFML2B	2253
OLFML3	1221
OMA1	1575
OPN3	1209
OPRD1	1119
OPTC	999
OR10J1	963
OR10J3	990
OR10J5	930
OR10K1	942
OR10K2	939
OR10R2	1008
OR10T2	945
OR10X1	981
OR10Z1	942
OR11L1	969
OR13G1	924
OR14A16	930
OR14A2	945
OR14C36	939
OR14I1	936
OR14K1	945
OR1C1	945
OR2AJ1	987
OR2AK2	1008
OR2B11	954
OR2C3	963
OR2G2	954
OR2G3	930
OR2G6	951
OR2L13	939
OR2L2	939
OR2L3	939
OR2L5	939
OR2L8	939
OR2M2	1044
OR2M3	939
OR2M4	936
OR2M5	939
OR2M7	939
OR2T1	1110
OR2T10	939
OR2T11	951
OR2T12	963
OR2T2	975
OR2T27	954
OR2T29	948
OR2T3	957
OR2T33	963
OR2T34	957
OR2T35	972
OR2T4	1047
OR2T5	948
OR2T6	927
OR2T8	939
OR2W3	945
OR2W5	963
OR4F5	918
OR6F1	927
OR6K2	975
OR6K3	948
OR6K6	1032
OR6N1	939
OR6N2	954
OR6P1	954
OR6Y1	978
ORC1	2586
OSBPL9	2241
OSCP1	1140
OTUD3	1197
OTUD7B	2532
OVGP1	2037
OXCT2	1554
PABPC4	1983
PADI1	1992
PADI2	1998
PADI3	1995
PADI4	1992
PADI6	2085
PAFAH2	1179
PALMD	1656
PANK4	2322
PAPPA2	5376
PAQR6	1056
PAQR7	1041
PARK7	570
PARP1	3045
PARS2	1428
PAX7	1563
PBX1	1293
PBXIP1	2196
PCNXL2	6414
PCP4L1	207
PCSK9	2079
PDC	741
PDE4B	2211
PDE4DIP	7089
PDIK1L	1026
PDPN	717
PDZK1	1560
PDZK1IP1	345
PEA15	393
PEAR1	3114
PEF1	855
PER3	3606
PEX10	1041
PEX11B	780
PEX14	1134
PEX19	900
PFDN2	465
PFKFB2	1518
PGBD2	1779
PGBD5	1575
PGD	1452
PGLYRP3	1026
PGLYRP4	1122
PGM1	1743
PHACTR4	2139
PHC2	2577
PHF13	903
PHGDH	1602
PHLDA3	384
PHTF1	2289
PI4KB	2487
PIAS3	1887
PIFO	576
PIGC	894
PIGK	1188
PIGM	1272
PIGR	2295
PIGV	1482
PIK3C2B	4905
PIK3CD	3135
PIK3R3	1386
PINK1	1746
PIP5K1A	1689
PITHD1	636
PKLR	1725
PKN2	2955
PKP1	2244
PLA2G2A	435
PLA2G2C	453
PLA2G2D	438
PLA2G2E	429
PLA2G2F	636
PLA2G4A	2250
PLA2G5	417
PLCH2	4251
PLD5	1611
PLEKHA6	3147
PLEKHG5	3258
PLEKHM2	3060
PLEKHN1	1836
PLEKHO1	1230
PLK3	1941
PLOD1	2184
PLXNA2	5685
PM20D1	1509
PMF1	624
PMF1-BGLAP	663
PMVK	579
PNRC2	420
PODN	1986
POGK	1830
POGZ	4233
POLR3C	1605
POLR3GL	657
POMGNT1	2247
POU2F1	2301
POU3F1	1356
PPAP2B	936
PPCS	936
PPFIA4	2106
PPIAL4G	495
PPIE	945
PPIH	534
PPM1J	1518
PPOX	1434
PPP1R12B	2949
PPP1R15B	2142
PPP1R8	1056
PPP2R5A	1461
PPT1	921
PQLC2	876
PRAMEF1	1425
PRAMEF11	1436
PRAMEF12	1452
PRAMEF14	1425
PRAMEF16	1425
PRAMEF2	1425
PRAMEF4	1437
PRAMEF9	1436
PRCC	1476
PRDM16	3831
PRDM2	5157
PRDX1	600
PRDX6	675
PRELP	1149
PRG4	4215
PRKAA2	1659
PRKAB2	819
PRKACB	1197
PRKCZ	1779
PRMT6	1128
PROK1	318
PROX1	2214
PRPF3	2052
PRPF38A	939
PRPF38B	1641
PRR9	351
PRRC2C	8454
PRRX1	738
PRSS38	981
PRUNE	1362
PSEN2	1347
PSMA5	726
PSMB2	606
PSMB4	795
PSMD4	1134
PSRC1	1002
PTAFR	1029
PTBP2	1596
PTCH2	3612
PTCHD2	4179
PTGER3	1257
PTGFR	1080
PTGFRN	2640
PTGS2	1815
PTP4A2	504
PTPN14	3564
PTPN22	2424
PTPN7	1398
PTPRC	3921
PTPRF	5724
PTPRU	4341
PUM1	3567
PUSL1	912
PVRL4	1533
PYCR2	963
PYGO2	1221
PYHIN1	1479
QSOX1	2244
RAB13	612
RAB25	642
RAB3B	660
RAB3GAP2	4182
RAB42	657
RAB4A	657
RAB29	612
RABGAP1L	2448
RABGGTB	996
RABIF	372
RAD54L	2244
RALGPS2	1752
RAP1A	555
RAP1GAP	2184
RASAL2	3843
RASSF5	1257
RAVER2	2037
RBBP4	1278
RBBP5	1617
RBM15	2934
RBM34	1293
RBM8A	525
RBMXL1	1173
RBP7	405
RC3H1	3402
RCAN3	726
RCC1	1359
RCC2	1569
RCOR3	1662
RCSD1	1251
RD3	588
REG4	477
REN	1221
RER1	591
RERE	4701
RFWD2	2196
RFX5	1851
RGL1	2412
RGS1	630
RGS13	480
RGS16	609
RGS18	708
RGS2	636
RGS21	459
RGS4	909
RGS5	558
RGS7	1464
RGS8	597
RGSL1	3231
RHBDL2	912
RHBG	1377
RHCE	1254
RHD	1254
RHOC	582
RHOU	777
RIIAD1	279
RIMKLA	1176
RIMS3	927
RIT1	711
RLF	5745
RNASEL	2226
RNF11	465
RNF115	915
RNF186	684
RNF187	708
RNF19B	2199
RNF2	1011
RNF207	1905
RNF220	1701
RNF223	750
RNPC3	1554
RNPEP	1953
ROR1	2814
RORC	1557
RPA2	813
RPAP2	1839
RPE65	1602
RPF1	1050
RPL11	537
RPL22	387
RPL5	894
RPRD2	4386
RPS27	255
RPS6KA1	2235
RPS6KC1	3201
RPS8	627
RPTN	2355
RRAGC	1200
RRNAD1	1428
RRP15	849
RSBN1	2409
RSC1A1	1854
RSG1	777
RSPO1	792
RTCA	1140
RUNX3	1290
RUSC1	2709
RUSC1-AS1	711
RWDD3	804
RXFP4	1125
RXRG	1392
RYR2	14904
S100A1	285
S100A10	294
S100A11	318
S100A12	279
S100A13	297
S100A14	315
S100A16	312
S100A2	294
S100A3	306
S100A4	306
S100A5	279
S100A6	273
S100A7	306
S100A7A	306
S100A7L2	339
S100A8	282
S100A9	345
S100PBP	1227
S1PR1	1149
SAMD11	2046
SAMD13	351
SARS	1545
SASS6	1974
SCAMP3	1044
SCCPDH	1290
SCMH1	1983
SCNM1	693
SCNN1D	2409
SCP2	1644
SCYL3	2229
SDC3	1329
SDCCAG8	2142
SDE2	1356
SDF4	1089
SDHB	843
SDHC	510
SEC16B	3183
SEC22B	648
SELE	1833
SELENBP1	1545
SELL	1158
SELP	2493
COA7	696
SEMA4A	2286
SEMA6C	2889
SEP15	498
SEPN1	1773
SERBP1	1227
SERINC2	1395
SERPINC1	1395
SERTAD4	1071
SERTAD4-AS1	0
SESN2	1443
SETDB1	3876
SF3A3	1506
SF3B4	1275
SFN	747
SFPQ	2124
SFT2D2	483
SGIP1	2487
SH2D1B	399
SH2D2A	1200
SH2D5	1272
SH3BGRL3	282
SH3BP5L	1182
SH3D21	2271
SH3GLB1	1185
SHC1	1755
SHCBP1L	1962
SHE	1488
SHISA4	594
SIKE1	636
SIPA1L2	5169
SKI	2187
SLAMF1	1008
SLAMF6	999
SLAMF7	1008
SLAMF8	858
SLAMF9	870
SLC16A1	1503
SLC16A4	1464
SLC19A2	1494
SLC1A7	1683
SLC22A15	1644
SLC25A24	1434
SLC25A33	966
SLC25A34	915
SLC25A44	945
SLC26A9	2664
SLC27A3	2193
SLC2A1	1479
SLC2A5	1506
SLC2A7	1539
SLC30A1	1524
SLC30A10	1458
SLC30A2	1119
SLC30A7	1131
SLC35A3	1104
SLC35D1	1068
SLC35E2	801
SLC35E2B	1218
SLC35F3	1473
SLC39A1	975
SLC41A1	1542
SLC44A3	1962
SLC44A5	2160
SLC45A1	2349
SLC45A3	1662
SLC50A1	666
SLC5A9	2121
SLC6A17	2184
SLC6A9	2121
SLC9A1	2448
SLC9C2	3375
SLFNL1	1224
SMAP2	1290
SMCP	351
SMG5	3051
SMG7	3537
SMIM1	237
SMIM12	279
